session_test_id,name,trial_id,rating_stimulus,rating_score,rating_time,rating_comment
model_comparison_v1,4,audio_item_8,Opt_32,54,27244,
model_comparison_v1,4,audio_item_8,reference,100,27244,
model_comparison_v1,4,audio_item_8,Opt_64_dropout,58,27244,
model_comparison_v1,4,audio_item_8,Opt_128,60,27244,
model_comparison_v1,4,audio_item_8,Opt_256,56,27244,
model_comparison_v1,5,audio_item_1,Opt_128,42,134188,
model_comparison_v1,5,audio_item_1,Opt_64_dropout,60,134188,
model_comparison_v1,5,audio_item_1,Opt_32,60,134188,
model_comparison_v1,5,audio_item_1,Opt_256,63,134188,
model_comparison_v1,5,audio_item_1,reference,100,134188,
model_comparison_v1,5,audio_item_2,Opt_128,38,31662,
model_comparison_v1,5,audio_item_2,reference,100,31662,
model_comparison_v1,5,audio_item_2,Opt_32,41,31662,
model_comparison_v1,5,audio_item_2,Opt_256,41,31662,
model_comparison_v1,5,audio_item_2,Opt_64_dropout,39,31662,
model_comparison_v1,5,audio_item_3,Opt_32,42,21625,
model_comparison_v1,5,audio_item_3,reference,100,21625,
model_comparison_v1,5,audio_item_3,Opt_64_dropout,42,21625,
model_comparison_v1,5,audio_item_3,Opt_256,41,21625,
model_comparison_v1,5,audio_item_3,Opt_128,39,21625,
model_comparison_v1,5,audio_item_4,Opt_256,37,15370,
model_comparison_v1,5,audio_item_4,Opt_32,37,15370,
model_comparison_v1,5,audio_item_4,reference,100,15370,
model_comparison_v1,5,audio_item_4,Opt_64_dropout,38,15370,
model_comparison_v1,5,audio_item_4,Opt_128,38,15370,
model_comparison_v1,5,audio_item_5,reference,100,18258,
model_comparison_v1,5,audio_item_5,Opt_64_dropout,40,18258,
model_comparison_v1,5,audio_item_5,Opt_32,39,18258,
model_comparison_v1,5,audio_item_5,Opt_256,39,18258,
model_comparison_v1,5,audio_item_5,Opt_128,37,18258,
model_comparison_v1,5,audio_item_6,Opt_32,41,21110,
model_comparison_v1,5,audio_item_6,Opt_256,39,21110,
model_comparison_v1,5,audio_item_6,reference,100,21110,
model_comparison_v1,5,audio_item_6,Opt_128,40,21110,
model_comparison_v1,5,audio_item_6,Opt_64_dropout,40,21110,
model_comparison_v1,5,audio_item_7,Opt_128,42,36082,
model_comparison_v1,5,audio_item_7,reference,100,36082,
model_comparison_v1,5,audio_item_7,Opt_64_dropout,39,36082,
model_comparison_v1,5,audio_item_7,Opt_256,39,36082,
model_comparison_v1,5,audio_item_7,Opt_32,40,36082,
model_comparison_v1,5,audio_item_8,Opt_64_dropout,38,31541,
model_comparison_v1,5,audio_item_8,Opt_256,37,31541,
model_comparison_v1,5,audio_item_8,reference,100,31541,
model_comparison_v1,5,audio_item_8,Opt_32,39,31541,
model_comparison_v1,5,audio_item_8,Opt_128,41,31541,
model_comparison_v1,6,audio_item_1,Opt_128,20,65562,
model_comparison_v1,6,audio_item_1,Opt_256,44,65562,
